Loading data...
Using  cuda
Training...
Epoch:  1 , validation loss:  1.8774967193603516 , validation accuracy:  11.042818651055587 %, lr:  0.0015836111652332422
Epoch:  2 , validation loss:  1.8754848480224608 , validation accuracy:  10.877978927928611 %, lr:  0.0015836111652332422
Epoch:  3 , validation loss:  1.8746381759643556 , validation accuracy:  10.950840249748412 %, lr:  0.0015836111652332422
Epoch:  4 , validation loss:  1.874671745300293 , validation accuracy:  10.76219435216546 %, lr:  0.0015836111652332422
Epoch:  5 , validation loss:  1.8738758087158203 , validation accuracy:  12.177218933844083 %, lr:  0.0015836111652332422
Epoch:  6 , validation loss:  1.8797914505004882 , validation accuracy:  10.897456707028953 %, lr:  0.0015836111652332422
Epoch:  7 , validation loss:  1.8734928131103517 , validation accuracy:  11.697127748981925 %, lr:  0.0015836111652332422
Epoch:  8 , validation loss:  1.865868377685547 , validation accuracy:  11.700374045498648 %, lr:  0.0015836111652332422
Epoch:  9 , validation loss:  1.815200424194336 , validation accuracy:  16.822308549662925 %, lr:  0.0015836111652332422
Epoch:  10 , validation loss:  1.6998550415039062 , validation accuracy:  11.080692110417365 %, lr:  0.0015836111652332422
Epoch:  11 , validation loss:  1.502358341217041 , validation accuracy:  15.823531321350892 %, lr:  0.0015836111652332422
Epoch:  12 , validation loss:  1.8263868331909179 , validation accuracy:  15.215752473497595 %, lr:  0.0015836111652332422
Epoch:  13 , validation loss:  1.8637426376342774 , validation accuracy:  10.919459383420081 %, lr:  0.0015836111652332422
Epoch:  14 , validation loss:  1.8306541442871094 , validation accuracy:  11.313343360782573 %, lr:  0.0015836111652332422
Epoch:  15 , validation loss:  1.6104139328002929 , validation accuracy:  15.189421401750835 %, lr:  0.0015836111652332422
Epoch:  16 , validation loss:  1.4774569511413573 , validation accuracy:  18.785596543054908 %, lr:  0.0015836111652332422
Epoch:  17 , validation loss:  1.610536766052246 , validation accuracy:  15.391773884626621 %, lr:  0.0015836111652332422
Epoch:  18 , validation loss:  1.6213478088378905 , validation accuracy:  19.46876161001879 %, lr:  0.0015836111652332422
Epoch:  19 , validation loss:  1.4377408027648926 , validation accuracy:  11.048229145250128 %, lr:  0.0015836111652332422
Epoch:  20 , validation loss:  1.8567564010620117 , validation accuracy:  13.792431800720678 %, lr:  0.0015836111652332422
Epoch:  21 , validation loss:  1.1673911094665528 , validation accuracy:  20.749605935672832 %, lr:  0.0015836111652332422
Epoch:  22 , validation loss:  1.318711280822754 , validation accuracy:  16.116780106694943 %, lr:  0.0015836111652332422
Epoch:  23 , validation loss:  1.2269159317016602 , validation accuracy:  26.9965625326884 %, lr:  0.0015836111652332422
Epoch:  24 , validation loss:  1.2610905647277832 , validation accuracy:  26.391308582125895 %, lr:  0.0015836111652332422
Epoch:  25 , validation loss:  0.9584156990051269 , validation accuracy:  28.828916566572527 %, lr:  0.0015836111652332422
Epoch:  26 , validation loss:  1.039252758026123 , validation accuracy:  24.655261344904577 %, lr:  0.0015836111652332422
Epoch:  27 , validation loss:  1.0357820510864257 , validation accuracy:  25.409484235623413 %, lr:  0.0015836111652332422
Epoch:  28 , validation loss:  1.0204362869262695 , validation accuracy:  25.351772297548326 %, lr:  0.0015836111652332422
Epoch:  29 , validation loss:  1.511728286743164 , validation accuracy:  20.42894397974311 %, lr:  0.0015836111652332422
Epoch:  30 , validation loss:  1.3477719306945801 , validation accuracy:  12.796179469699428 %, lr:  0.0015836111652332422
Epoch:  31 , validation loss:  1.3870560646057128 , validation accuracy:  24.747961145437692 %, lr:  0.0015836111652332422
Epoch:  32 , validation loss:  1.0938002586364746 , validation accuracy:  23.189738817410248 %, lr:  0.0015836111652332422
Epoch:  33 , validation loss:  1.0433210372924804 , validation accuracy:  20.42858328013014 %, lr:  0.0015836111652332422
Epoch:  34 , validation loss:  0.9682090759277344 , validation accuracy:  26.601235756874033 %, lr:  0.0015836111652332422
Epoch:  35 , validation loss:  1.473044490814209 , validation accuracy:  26.169478320149764 %, lr:  0.0015836111652332422
Epoch:  36 , validation loss:  1.113525676727295 , validation accuracy:  25.550517784294417 %, lr:  0.00047508334956997264
Epoch:  37 , validation loss:  0.8693922996520996 , validation accuracy:  29.70217032957124 %, lr:  0.00047508334956997264
Epoch:  38 , validation loss:  0.8698725700378418 , validation accuracy:  30.060705744862737 %, lr:  0.00047508334956997264
Epoch:  39 , validation loss:  0.9032564163208008 , validation accuracy:  28.490219629994336 %, lr:  0.00047508334956997264
Epoch:  40 , validation loss:  0.8318111419677734 , validation accuracy:  32.34681989186225 %, lr:  0.00047508334956997264
Epoch:  41 , validation loss:  0.8391859054565429 , validation accuracy:  34.40316838540032 %, lr:  0.00047508334956997264
Epoch:  42 , validation loss:  0.9863734245300293 , validation accuracy:  31.346599865098344 %, lr:  0.00047508334956997264
Epoch:  43 , validation loss:  1.127112579345703 , validation accuracy:  27.926806834536265 %, lr:  0.00047508334956997264
Epoch:  44 , validation loss:  1.0549220085144042 , validation accuracy:  33.596283351187964 %, lr:  0.00047508334956997264
Epoch:  45 , validation loss:  0.8580155372619629 , validation accuracy:  30.74314941260068 %, lr:  0.00047508334956997264
Epoch:  46 , validation loss:  0.8579985618591308 , validation accuracy:  35.667781228470744 %, lr:  0.00047508334956997264
Epoch:  47 , validation loss:  0.7980669975280762 , validation accuracy:  32.185226465252 %, lr:  0.00047508334956997264
Epoch:  48 , validation loss:  0.8558444023132324 , validation accuracy:  28.28786714711855 %, lr:  0.00047508334956997264
Epoch:  49 , validation loss:  0.8149834632873535 , validation accuracy:  35.54225776315742 %, lr:  0.00047508334956997264
Epoch:  50 , validation loss:  0.8627459526062011 , validation accuracy:  30.0376209696327 %, lr:  0.00047508334956997264
Epoch:  51 , validation loss:  1.0983758926391602 , validation accuracy:  30.382810499244332 %, lr:  0.00047508334956997264
Epoch:  52 , validation loss:  0.9364741325378418 , validation accuracy:  32.44312668852506 %, lr:  0.00047508334956997264
Epoch:  53 , validation loss:  0.9935751914978027 , validation accuracy:  33.921273702473314 %, lr:  0.00047508334956997264
Epoch:  54 , validation loss:  1.096916389465332 , validation accuracy:  29.21919354780532 %, lr:  0.00047508334956997264
Epoch:  55 , validation loss:  0.7750809192657471 , validation accuracy:  38.485927304600004 %, lr:  0.00047508334956997264
Epoch:  56 , validation loss:  0.8356362342834472 , validation accuracy:  35.180476051349196 %, lr:  0.00047508334956997264
Epoch:  57 , validation loss:  0.7782160758972168 , validation accuracy:  39.456209263487466 %, lr:  0.00047508334956997264
Epoch:  58 , validation loss:  0.9687413215637207 , validation accuracy:  15.963843470795954 %, lr:  0.00047508334956997264
Epoch:  59 , validation loss:  0.7610020637512207 , validation accuracy:  38.171757941703724 %, lr:  0.00047508334956997264
Epoch:  60 , validation loss:  0.7994039058685303 , validation accuracy:  30.064312740992428 %, lr:  0.00047508334956997264
Epoch:  61 , validation loss:  1.0226311683654785 , validation accuracy:  30.33772304762317 %, lr:  0.00047508334956997264
Epoch:  62 , validation loss:  0.7667117595672608 , validation accuracy:  35.525304881347864 %, lr:  0.00047508334956997264
Epoch:  63 , validation loss:  1.0918550491333008 , validation accuracy:  34.33752105583991 %, lr:  0.00047508334956997264
Epoch:  64 , validation loss:  0.7524557113647461 , validation accuracy:  36.9424936607043 %, lr:  0.00047508334956997264
Epoch:  65 , validation loss:  0.797804594039917 , validation accuracy:  39.18352035608266 %, lr:  0.00047508334956997264
Epoch:  66 , validation loss:  0.8135481834411621 , validation accuracy:  34.97271307427887 %, lr:  0.00047508334956997264
Epoch:  67 , validation loss:  0.9068625450134278 , validation accuracy:  35.654435342790876 %, lr:  0.00047508334956997264
Epoch:  68 , validation loss:  1.082731342315674 , validation accuracy:  11.118565569779143 %, lr:  0.00047508334956997264
Epoch:  69 , validation loss:  1.1877917289733886 , validation accuracy:  33.47761317852106 %, lr:  0.00047508334956997264
Epoch:  70 , validation loss:  0.9696571350097656 , validation accuracy:  25.600655030497155 %, lr:  0.00047508334956997264
Epoch:  71 , validation loss:  0.7901920318603516 , validation accuracy:  38.194121317707825 %, lr:  0.00047508334956997264
Epoch:  72 , validation loss:  0.8401011466979981 , validation accuracy:  34.958645789373065 %, lr:  0.00047508334956997264
Epoch:  73 , validation loss:  0.8153138160705566 , validation accuracy:  36.73364858479507 %, lr:  0.00047508334956997264
Epoch:  74 , validation loss:  0.7576601505279541 , validation accuracy:  39.79129920393596 %, lr:  0.00047508334956997264
Epoch:  75 , validation loss:  1.0815756797790528 , validation accuracy:  33.57536277363574 %, lr:  0.00014252500487099177
Epoch:  76 , validation loss:  0.749168586730957 , validation accuracy:  40.81857170167256 %, lr:  0.00014252500487099177
Epoch:  77 , validation loss:  0.7433228969573975 , validation accuracy:  38.117652999758334 %, lr:  0.00014252500487099177
Epoch:  78 , validation loss:  0.7292322158813477 , validation accuracy:  40.72875749804321 %, lr:  0.00014252500487099177
Epoch:  79 , validation loss:  0.8804491043090821 , validation accuracy:  35.71936127312536 %, lr:  0.00014252500487099177
Epoch:  80 , validation loss:  0.7125813484191894 , validation accuracy:  41.728616825194145 %, lr:  0.00014252500487099177
Epoch:  81 , validation loss:  0.712871503829956 , validation accuracy:  41.529871338448054 %, lr:  0.00014252500487099177
Epoch:  82 , validation loss:  0.7325955867767334 , validation accuracy:  40.52099452097288 %, lr:  0.00014252500487099177
Epoch:  83 , validation loss:  0.7684309959411622 , validation accuracy:  40.42432702469711 %, lr:  0.00014252500487099177
Epoch:  84 , validation loss:  0.7538240909576416 , validation accuracy:  39.878588510274525 %, lr:  0.00014252500487099177
Epoch:  85 , validation loss:  0.8309406280517578 , validation accuracy:  40.163541204520286 %, lr:  0.00014252500487099177
Epoch:  86 , validation loss:  0.7055596351623535 , validation accuracy:  42.209429409282244 %, lr:  0.00014252500487099177
Epoch:  87 , validation loss:  0.778078556060791 , validation accuracy:  40.11917515212507 %, lr:  0.00014252500487099177
Epoch:  88 , validation loss:  0.7387182712554932 , validation accuracy:  42.21195430657303 %, lr:  0.00014252500487099177
Epoch:  89 , validation loss:  0.7404302597045899 , validation accuracy:  42.26822344619624 %, lr:  0.00014252500487099177
Epoch:  90 , validation loss:  0.7732991218566895 , validation accuracy:  39.71410948676052 %, lr:  0.00014252500487099177
Epoch:  91 , validation loss:  0.7532673358917237 , validation accuracy:  41.03066307409852 %, lr:  0.00014252500487099177
Epoch:  92 , validation loss:  0.7153657913208008 , validation accuracy:  41.619324842464444 %, lr:  0.00014252500487099177
Epoch:  93 , validation loss:  0.754293966293335 , validation accuracy:  42.76526751286796 %, lr:  0.00014252500487099177
Epoch:  94 , validation loss:  0.7135117530822754 , validation accuracy:  42.76743171054577 %, lr:  0.00014252500487099177
Epoch:  95 , validation loss:  0.7378247261047364 , validation accuracy:  41.08765361294767 %, lr:  0.00014252500487099177
Epoch:  96 , validation loss:  0.7143250465393066 , validation accuracy:  43.09891465486457 %, lr:  0.00014252500487099177
Epoch:  97 , validation loss:  0.7367703914642334 , validation accuracy:  42.26317365161467 %, lr:  4.275750146129753e-05
Epoch:  98 , validation loss:  0.6968735218048095 , validation accuracy:  42.46191913836076 %, lr:  4.275750146129753e-05
Epoch:  99 , validation loss:  0.6998939514160156 , validation accuracy:  42.662468123171706 %, lr:  4.275750146129753e-05
Epoch:  100 , validation loss:  0.699306583404541 , validation accuracy:  42.375351231248125 %, lr:  4.275750146129753e-05
Epoch:  101 , validation loss:  0.7004030704498291 , validation accuracy:  42.60908458045225 %, lr:  4.275750146129753e-05
Epoch:  102 , validation loss:  0.7062211036682129 , validation accuracy:  42.57012902225156 %, lr:  4.275750146129753e-05
Epoch:  103 , validation loss:  0.7130618572235108 , validation accuracy:  42.81143706332803 %, lr:  4.275750146129753e-05
Epoch:  104 , validation loss:  0.7676875591278076 , validation accuracy:  41.36936001067671 %, lr:  4.275750146129753e-05
Epoch:  105 , validation loss:  0.6993926525115967 , validation accuracy:  42.60655968316146 %, lr:  4.275750146129753e-05
Epoch:  106 , validation loss:  0.6994977474212647 , validation accuracy:  42.5791465125758 %, lr:  4.275750146129753e-05
Epoch:  107 , validation loss:  0.7058485984802246 , validation accuracy:  42.72667265428024 %, lr:  4.275750146129753e-05
Epoch:  108 , validation loss:  0.7004149436950684 , validation accuracy:  42.78185969506455 %, lr:  4.275750146129753e-05
Epoch:  109 , validation loss:  0.7142741680145264 , validation accuracy:  42.82838994513759 %, lr:  1.2827250438389259e-05
Epoch:  110 , validation loss:  0.6967710018157959 , validation accuracy:  42.76454611364202 %, lr:  1.2827250438389259e-05
Epoch:  111 , validation loss:  0.7029448509216308 , validation accuracy:  42.550651243151215 %, lr:  1.2827250438389259e-05
Epoch:  112 , validation loss:  0.699232530593872 , validation accuracy:  42.81215846255397 %, lr:  1.2827250438389259e-05
Epoch:  113 , validation loss:  0.6976738929748535 , validation accuracy:  42.87744509250142 %, lr:  1.2827250438389259e-05
Epoch:  114 , validation loss:  0.7106149196624756 , validation accuracy:  42.76310331519014 %, lr:  1.2827250438389259e-05
Epoch:  115 , validation loss:  0.7061184883117676 , validation accuracy:  42.71729446434304 %, lr:  1.2827250438389259e-05
Epoch:  116 , validation loss:  0.702069902420044 , validation accuracy:  42.660303925493885 %, lr:  1.2827250438389259e-05
Epoch:  117 , validation loss:  0.705695915222168 , validation accuracy:  42.60908458045225 %, lr:  1.2827250438389259e-05
Epoch:  118 , validation loss:  0.7030313968658447 , validation accuracy:  42.789434386936904 %, lr:  1.2827250438389259e-05
Epoch:  119 , validation loss:  0.6949158668518066 , validation accuracy:  42.64443314252323 %, lr:  1.2827250438389259e-05
Epoch:  120 , validation loss:  0.6979362964630127 , validation accuracy:  42.74073993918604 %, lr:  1.2827250438389259e-05
Epoch:  121 , validation loss:  0.6955488204956055 , validation accuracy:  42.636858450650884 %, lr:  1.2827250438389259e-05
Epoch:  122 , validation loss:  0.6988185405731201 , validation accuracy:  42.67581400885157 %, lr:  1.2827250438389259e-05
Epoch:  123 , validation loss:  0.6992801189422607 , validation accuracy:  42.72739405350618 %, lr:  1.2827250438389259e-05
Epoch:  124 , validation loss:  0.7045881271362304 , validation accuracy:  42.40564999873755 %, lr:  1.2827250438389259e-05
Epoch:  125 , validation loss:  0.7076231479644776 , validation accuracy:  42.72126216008571 %, lr:  1.2827250438389259e-05
Epoch:  126 , validation loss:  0.7039441585540771 , validation accuracy:  42.643711743297295 %, lr:  1.2827250438389259e-05
Epoch:  127 , validation loss:  0.6944611549377442 , validation accuracy:  42.703227179437235 %, lr:  1.2827250438389259e-05
